SITE ID,LOCATION IDENTIFIER,STREET ADDRESS,TOWN,merged address,STATE,ENTIRE SERVICE LINE MATERIAL CLASSIFICATION,BUILDING TYPE,SOURCE FILE,STREET NUMBER,STREET NAME,extracted_pswid,is_match,PWSID,SYSTEM NAME
700152103.0,9 TINGUE ST,9 TINGUE ST,BYRAM,9 TINGUE ST BYRAM CT,CT,Lead,MF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700164929.0,223 COGNEWAUGH RD,223 COGNEWAUGH RD,COS COB,223 COGNEWAUGH RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700224686.0,48 VALLEY RD,48 VALLEY RD,COS COB,48 VALLEY RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700148694.0,30 RIVER RD,30 RIVER RD,COS COB,30 RIVER RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700148819.0,8 MIAMI CT,8 MIAMI CT,COS COB,8 MIAMI CT COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700148826.0,6 MIAMI CT,6 MIAMI CT,COS COB,6 MIAMI CT COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700148837.0,4 MEAD AVE,4 MEAD AVE,COS COB,4 MEAD AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700148914.0,521 E PUTNAM AVE,521 E PUTNAM AVE,COS COB,521 E PUTNAM AVE COS COB CT,CT,Lead,SCH_CC,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700148930.0,525 E PUTNAM AVE,525 E PUTNAM AVE,COS COB,525 E PUTNAM AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700148936.0,531 PUTNAM AVE E,531 PUTNAM AVE E,COS COB,531 PUTNAM AVE E COS COB CT,CT,Lead,NONRES,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700148953.0,108 RIVER RD,108 RIVER RD,COS COB,108 RIVER RD COS COB CT,CT,Lead,NONRES,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700148980.0,94 RIVER RD,94 RIVER RD,COS COB,94 RIVER RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700153483.0,416 PUTNAM AVE E,416 PUTNAM AVE E,COS COB,416 PUTNAM AVE E COS COB CT,CT,Lead,MF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700153489.0,406 E PUTNAM AVE,406 E PUTNAM AVE,COS COB,406 E PUTNAM AVE COS COB CT,CT,Lead,MF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700153491.0,400 PUTNAM AVE E,400 PUTNAM AVE E,COS COB,400 PUTNAM AVE E COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
