SITE ID,LOCATION IDENTIFIER,STREET ADDRESS,TOWN,merged address,STATE,BUILDING TYPE,PWSID,SYSTEM NAME
700000246.0,752 PARK AVE,752 PARK AVE,BRIDGEPORT,752 PARK AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700001555.0,745 HANCOCK AVE,745 HANCOCK AVE,BRIDGEPORT,745 HANCOCK AVE BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System
700001611.0,725 PARK AVE,725 PARK AVE,BRIDGEPORT,725 PARK AVE BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System
700001683.0,25 PRINCETON ST,25 PRINCETON ST,BRIDGEPORT,25 PRINCETON ST BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System
700001756.0,459 IRANISTAN AVE,459 IRANISTAN AVE,BRIDGEPORT,459 IRANISTAN AVE BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System
700001878.0,95 JONES AVE,95 JONES AVE,BRIDGEPORT,95 JONES AVE BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System
700002813.0,241 PINE ST,241 PINE ST,BRIDGEPORT,241 PINE ST BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System
700002952.0,24 WALLACE ST,24 WALLACE ST,BRIDGEPORT,24 WALLACE ST BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System
700003044.0,3101 MAIN ST,3101 MAIN ST,BRIDGEPORT,3101 MAIN ST BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System
700003374.0,522 FAIRFIELD AVE,522 FAIRFIELD AVE,BRIDGEPORT,522 FAIRFIELD AVE BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System
700004446.0,2710 NORTH AVE,2710 NORTH AVE,BRIDGEPORT,2710 NORTH AVE BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System
700004530.0,226 MILL HILL AVE,226 MILL HILL AVE,BRIDGEPORT,226 MILL HILL AVE BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System
700004794.0,62 COLEMAN ST,62 COLEMAN ST,BRIDGEPORT,62 COLEMAN ST BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System
700018940.0,198 WILLOW ST,198 WILLOW ST,BRIDGEPORT,198 WILLOW ST BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700021562.0,126-128 NORTH BISHOP,126-128 NORTH BISHOP,BRIDGEPORT,126-128 NORTH BISHOP BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700021631.0,57-61 KENT AVE,57-61 KENT AVE,BRIDGEPORT,57-61 KENT AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700021665.0,100-04 KENT AVE,100-04 KENT AVE,BRIDGEPORT,100-04 KENT AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700021674.0,110 KENT AVE,110 KENT AVE,BRIDGEPORT,110 KENT AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700021681.0,1384 BOSTON AVE,1384 BOSTON AVE,BRIDGEPORT,1384 BOSTON AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700021706.0,167-69 KENT AVE,167-69 KENT AVE,BRIDGEPORT,167-69 KENT AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700021717.0,285 KENT AVE,285 KENT AVE,BRIDGEPORT,285 KENT AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700021758.0,337 KENT AVE,337 KENT AVE,BRIDGEPORT,337 KENT AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700021762.0,338 KENT AVE,338 KENT AVE,BRIDGEPORT,338 KENT AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700021766.0,347-349 KENT AVE,347-349 KENT AVE,BRIDGEPORT,347-349 KENT AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700021781.0,377 KENT AVE,377 KENT AVE,BRIDGEPORT,377 KENT AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700021802.0,415 KENT AVE,415 KENT AVE,BRIDGEPORT,415 KENT AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700021815.0,90-92 WEBER AVE,90-92 WEBER AVE,BRIDGEPORT,90-92 WEBER AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700021826.0,1844 BOSTON AVE,1844 BOSTON AVE,BRIDGEPORT,1844 BOSTON AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700021850.0,1900-04 BOSTON AVE,1900-04 BOSTON AVE,BRIDGEPORT,1900-04 BOSTON AVE BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System
700021929.0,91 SAGE AVE,91 SAGE AVE,BRIDGEPORT,91 SAGE AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700021933.0,92 SAGE AVE,92 SAGE AVE,BRIDGEPORT,92 SAGE AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700021970.0,2101 BOSTON AVE,2101 BOSTON AVE,BRIDGEPORT,2101 BOSTON AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700021982.0,160 SAGE AVE,160 SAGE AVE,BRIDGEPORT,160 SAGE AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700023091.0,1928 SEAVIEW AVE,1928 SEAVIEW AVE,BRIDGEPORT,1928 SEAVIEW AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
