SITE ID,LOCATION IDENTIFIER,STREET ADDRESS,TOWN,merged address,STATE,ENTIRE SERVICE LINE MATERIAL CLASSIFICATION,BUILDING TYPE,SOURCE FILE,STREET NUMBER,STREET NAME,extracted_pswid,is_match,PWSID,SYSTEM NAME,lat,long
700152103,9 TINGUE ST,9 TINGUE ST,BYRAM,9 TINGUE ST BYRAM CT,CT,Lead,MF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,NA,NA,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich,41.0027226,-73.6519299
700164929,223 COGNEWAUGH RD,223 COGNEWAUGH RD,COS COB,223 COGNEWAUGH RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,NA,NA,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich,NA,NA
700224686,48 VALLEY RD,48 VALLEY RD,COS COB,48 VALLEY RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,NA,NA,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich,41.0424643,-73.5933324
700148694,30 RIVER RD,30 RIVER RD,COS COB,30 RIVER RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,NA,NA,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich,41.0359453,-73.5956007
700148819,8 MIAMI CT,8 MIAMI CT,COS COB,8 MIAMI CT COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,NA,NA,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich,41.0388277,-73.5958718
700148826,6 MIAMI CT,6 MIAMI CT,COS COB,6 MIAMI CT COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,NA,NA,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich,41.0388652,-73.5961592
700148837,4 MEAD AVE,4 MEAD AVE,COS COB,4 MEAD AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,NA,NA,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich,41.0388669,-73.5967223
700148914,521 E PUTNAM AVE,521 E PUTNAM AVE,COS COB,521 E PUTNAM AVE COS COB CT,CT,Lead,SCH_CC,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,NA,NA,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich,41.0374216,-73.6067141
700148930,525 E PUTNAM AVE,525 E PUTNAM AVE,COS COB,525 E PUTNAM AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,NA,NA,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich,41.0411899,-73.5921308
700148936,531 PUTNAM AVE E,531 PUTNAM AVE E,COS COB,531 PUTNAM AVE E COS COB CT,CT,Lead,NONRES,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,NA,NA,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich,41.0413497,-73.5919071
700148953,108 RIVER RD,108 RIVER RD,COS COB,108 RIVER RD COS COB CT,CT,Lead,NONRES,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,NA,NA,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich,41.0415367,-73.5912481
700148980,94 RIVER RD,94 RIVER RD,COS COB,94 RIVER RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,NA,NA,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich,41.0406835,-73.5916156
700153483,416 PUTNAM AVE E,416 PUTNAM AVE E,COS COB,416 PUTNAM AVE E COS COB CT,CT,Lead,MF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,NA,NA,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich,41.0402441,-73.5953394
700153489,406 E PUTNAM AVE,406 E PUTNAM AVE,COS COB,406 E PUTNAM AVE COS COB CT,CT,Lead,MF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,NA,NA,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich,41.0401087,-73.5956431
