SITE ID,LOCATION IDENTIFIER,STREET ADDRESS,TOWN,merged address,STATE,ENTIRE SERVICE LINE MATERIAL CLASSIFICATION,BUILDING TYPE,SOURCE FILE,STREET NUMBER,STREET NAME,extracted_pswid,is_match,PWSID,SYSTEM NAME,lat,long
700152103,9 Tingue St,9 Tingue St,Byram,9 Tingue St Byram Ct,Ct,Lead,Multi-Family Residence,Ct0570011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0570011,True,Ct0570011,Aquarion Water Co Of Ct-Greenwich,41.0027226,-73.6519299
700164929,223 Cognewaugh Rd,223 Cognewaugh Rd,Cos Cob,223 Cognewaugh Rd Cos Cob Ct,Ct,Lead,Single-Family Residence,Ct0570011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0570011,True,Ct0570011,Aquarion Water Co Of Ct-Greenwich,,
700224686,48 Valley Rd,48 Valley Rd,Cos Cob,48 Valley Rd Cos Cob Ct,Ct,Lead,Single-Family Residence,Ct0570011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0570011,True,Ct0570011,Aquarion Water Co Of Ct-Greenwich,41.0424643,-73.5933324
700148694,30 River Rd,30 River Rd,Cos Cob,30 River Rd Cos Cob Ct,Ct,Lead,Single-Family Residence,Ct0570011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0570011,True,Ct0570011,Aquarion Water Co Of Ct-Greenwich,41.0359453,-73.5956007
700148819,8 Miami Ct,8 Miami Ct,Cos Cob,8 Miami Ct Cos Cob Ct,Ct,Lead,Single-Family Residence,Ct0570011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0570011,True,Ct0570011,Aquarion Water Co Of Ct-Greenwich,41.0388277,-73.5958718
700148826,6 Miami Ct,6 Miami Ct,Cos Cob,6 Miami Ct Cos Cob Ct,Ct,Lead,Single-Family Residence,Ct0570011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0570011,True,Ct0570011,Aquarion Water Co Of Ct-Greenwich,41.0388652,-73.5961592
700148837,4 Mead Ave,4 Mead Ave,Cos Cob,4 Mead Ave Cos Cob Ct,Ct,Lead,Single-Family Residence,Ct0570011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0570011,True,Ct0570011,Aquarion Water Co Of Ct-Greenwich,41.0388669,-73.5967223
700148914,521 E Putnam Ave,521 E Putnam Ave,Cos Cob,521 E Putnam Ave Cos Cob Ct,Ct,Lead,School/Child Care,Ct0570011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0570011,True,Ct0570011,Aquarion Water Co Of Ct-Greenwich,41.0374216,-73.6067141
700148930,525 E Putnam Ave,525 E Putnam Ave,Cos Cob,525 E Putnam Ave Cos Cob Ct,Ct,Lead,Single-Family Residence,Ct0570011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0570011,True,Ct0570011,Aquarion Water Co Of Ct-Greenwich,41.0411899,-73.5921308
700148936,531 Putnam Ave E,531 Putnam Ave E,Cos Cob,531 Putnam Ave E Cos Cob Ct,Ct,Lead,"Nonresidential, Non-School, Non-Daycare",Ct0570011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0570011,True,Ct0570011,Aquarion Water Co Of Ct-Greenwich,41.0413497,-73.5919071
700148953,108 River Rd,108 River Rd,Cos Cob,108 River Rd Cos Cob Ct,Ct,Lead,"Nonresidential, Non-School, Non-Daycare",Ct0570011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0570011,True,Ct0570011,Aquarion Water Co Of Ct-Greenwich,41.0415367,-73.5912481
700148980,94 River Rd,94 River Rd,Cos Cob,94 River Rd Cos Cob Ct,Ct,Lead,Single-Family Residence,Ct0570011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0570011,True,Ct0570011,Aquarion Water Co Of Ct-Greenwich,41.0406835,-73.5916156
700153483,416 Putnam Ave E,416 Putnam Ave E,Cos Cob,416 Putnam Ave E Cos Cob Ct,Ct,Lead,Multi-Family Residence,Ct0570011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0570011,True,Ct0570011,Aquarion Water Co Of Ct-Greenwich,41.0402441,-73.5953394
