SITE ID,LOCATION IDENTIFIER,STREET ADDRESS,TOWN,merged address,STATE,BUILDING TYPE,PWSID,SYSTEM NAME,lat,long
700000246,752 PARK AVE,752 PARK AVE,BRIDGEPORT,752 PARK AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System,41.1720889,-73.1963527
700001555,745 HANCOCK AVE,745 HANCOCK AVE,BRIDGEPORT,745 HANCOCK AVE BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System,41.1703439,-73.2122175
700001611,725 PARK AVE,725 PARK AVE,BRIDGEPORT,725 PARK AVE BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System,41.1715474,-73.1972425
700001683,25 PRINCETON ST,25 PRINCETON ST,BRIDGEPORT,25 PRINCETON ST BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System,41.1588737,-73.2259361
700001756,459 IRANISTAN AVE,459 IRANISTAN AVE,BRIDGEPORT,459 IRANISTAN AVE BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System,41.1674315,-73.1995949
700001878,95 JONES AVE,95 JONES AVE,BRIDGEPORT,95 JONES AVE BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System,41.1829278,-73.2002291
700002813,241 PINE ST,241 PINE ST,BRIDGEPORT,241 PINE ST BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System,41.1656473,-73.2086722
700002952,24 WALLACE ST,24 WALLACE ST,BRIDGEPORT,24 WALLACE ST BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System,41.1890207,-73.1978207
700003044,3101 MAIN ST,3101 MAIN ST,BRIDGEPORT,3101 MAIN ST BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System,41.2041925,-73.2054296
700003374,522 FAIRFIELD AVE,522 FAIRFIELD AVE,BRIDGEPORT,522 FAIRFIELD AVE BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System,41.176661,-73.1964878
700004446,2710 NORTH AVE,2710 NORTH AVE,BRIDGEPORT,2710 NORTH AVE BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System,41.1768578,-73.2217034
700004530,226 MILL HILL AVE,226 MILL HILL AVE,BRIDGEPORT,226 MILL HILL AVE BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System,41.1894342,-73.1649291
700004794,62 COLEMAN ST,62 COLEMAN ST,BRIDGEPORT,62 COLEMAN ST BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System,41.1792299,-73.1972497
700018940,198 WILLOW ST,198 WILLOW ST,BRIDGEPORT,198 WILLOW ST BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System,41.1892278,-73.1587878
700021562,126-128 NORTH BISHOP,126-128 NORTH BISHOP,BRIDGEPORT,126-128 NORTH BISHOP BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System,41.1955261,-73.1567531
700021631,57-61 KENT AVE,57-61 KENT AVE,BRIDGEPORT,57-61 KENT AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System,41.192675,-73.1566154
700021665,100-04 KENT AVE,100-04 KENT AVE,BRIDGEPORT,100-04 KENT AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System,41.192675,-73.1566154
700021674,110 KENT AVE,110 KENT AVE,BRIDGEPORT,110 KENT AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System,41.1911732,-73.1562484
700021681,1384 BOSTON AVE,1384 BOSTON AVE,BRIDGEPORT,1384 BOSTON AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System,41.1931721,-73.1682923
700021706,167-69 KENT AVE,167-69 KENT AVE,BRIDGEPORT,167-69 KENT AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System,41.192675,-73.1566154
700021717,285 KENT AVE,285 KENT AVE,BRIDGEPORT,285 KENT AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System,41.1936855,-73.1566012
700021758,337 KENT AVE,337 KENT AVE,BRIDGEPORT,337 KENT AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System,41.1943697,-73.1564209
700021762,338 KENT AVE,338 KENT AVE,BRIDGEPORT,338 KENT AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System,41.1942612,-73.1559386
700021766,347-349 KENT AVE,347-349 KENT AVE,BRIDGEPORT,347-349 KENT AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System,41.192675,-73.1566154
700021781,377 KENT AVE,377 KENT AVE,BRIDGEPORT,377 KENT AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System,41.1948635,-73.1562664
700021802,415 KENT AVE,415 KENT AVE,BRIDGEPORT,415 KENT AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System,41.1953808,-73.1561029
700021815,90-92 WEBER AVE,90-92 WEBER AVE,BRIDGEPORT,90-92 WEBER AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System,41.1951339,-73.1550188
700021826,1844 BOSTON AVE,1844 BOSTON AVE,BRIDGEPORT,1844 BOSTON AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System,41.1933111,-73.1600816
700021850,1900-04 BOSTON AVE,1900-04 BOSTON AVE,BRIDGEPORT,1900-04 BOSTON AVE BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System,41.1932806,-73.1707504
700021929,91 SAGE AVE,91 SAGE AVE,BRIDGEPORT,91 SAGE AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System,41.1912128,-73.1557704
700021933,92 SAGE AVE,92 SAGE AVE,BRIDGEPORT,92 SAGE AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System,41.1911849,-73.1551574
700021970,2101 BOSTON AVE,2101 BOSTON AVE,BRIDGEPORT,2101 BOSTON AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System,41.1927728,-73.1553304
700021982,160 SAGE AVE,160 SAGE AVE,BRIDGEPORT,160 SAGE AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System,41.192032,-73.1555113
700023091,1928 SEAVIEW AVE,1928 SEAVIEW AVE,BRIDGEPORT,1928 SEAVIEW AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System,41.1893119,-73.1699882
700023151,2134 SEAVIEW AVE,2134 SEAVIEW AVE,BRIDGEPORT,2134 SEAVIEW AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System,41.1921541,-73.1700596
700023180,441 BISHOP AVE,441 BISHOP AVE,BRIDGEPORT,441 BISHOP AVE BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System,41.1886424,-73.1572281
700023199,82 WHITE ST,82 WHITE ST,BRIDGEPORT,82 WHITE ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System,41.1879726,-73.1689451
700023229,591 BISHOP AVE,591 BISHOP AVE,BRIDGEPORT,591 BISHOP AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System,41.1902954,-73.1574829
700023239,88 SHERIDAN ST,88 SHERIDAN ST,BRIDGEPORT,88 SHERIDAN ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System,41.1902366,-73.1693734
