SITE ID,LOCATION IDENTIFIER,STREET ADDRESS,TOWN,merged address,STATE,BUILDING TYPE,PWSID,SYSTEM NAME,lat,long
700000246,752 Park Ave,752 Park Ave,Bridgeport,752 Park Ave Bridgeport Ct,Ct,Multi-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.1720889,-73.1963527
700001555,745 Hancock Ave,745 Hancock Ave,Bridgeport,745 Hancock Ave Bridgeport Ct,Ct,"Nonresidential, Non-School, Non-Daycare",Ct0150011,Aquarion Water Co Of Ct-Main System,41.1703439,-73.2122175
700001611,725 Park Ave,725 Park Ave,Bridgeport,725 Park Ave Bridgeport Ct,Ct,"Nonresidential, Non-School, Non-Daycare",Ct0150011,Aquarion Water Co Of Ct-Main System,41.1715474,-73.1972425
700001683,25 Princeton St,25 Princeton St,Bridgeport,25 Princeton St Bridgeport Ct,Ct,"Nonresidential, Non-School, Non-Daycare",Ct0150011,Aquarion Water Co Of Ct-Main System,41.1588737,-73.2259361
700001756,459 Iranistan Ave,459 Iranistan Ave,Bridgeport,459 Iranistan Ave Bridgeport Ct,Ct,"Nonresidential, Non-School, Non-Daycare",Ct0150011,Aquarion Water Co Of Ct-Main System,41.1674315,-73.1995949
700001878,95 Jones Ave,95 Jones Ave,Bridgeport,95 Jones Ave Bridgeport Ct,Ct,"Nonresidential, Non-School, Non-Daycare",Ct0150011,Aquarion Water Co Of Ct-Main System,41.1829278,-73.2002291
700002813,241 Pine St,241 Pine St,Bridgeport,241 Pine St Bridgeport Ct,Ct,"Nonresidential, Non-School, Non-Daycare",Ct0150011,Aquarion Water Co Of Ct-Main System,41.1656473,-73.2086722
700002952,24 Wallace St,24 Wallace St,Bridgeport,24 Wallace St Bridgeport Ct,Ct,"Nonresidential, Non-School, Non-Daycare",Ct0150011,Aquarion Water Co Of Ct-Main System,41.1890207,-73.1978207
700003044,3101 Main St,3101 Main St,Bridgeport,3101 Main St Bridgeport Ct,Ct,"Nonresidential, Non-School, Non-Daycare",Ct0150011,Aquarion Water Co Of Ct-Main System,41.2041925,-73.2054296
700003374,522 Fairfield Ave,522 Fairfield Ave,Bridgeport,522 Fairfield Ave Bridgeport Ct,Ct,"Nonresidential, Non-School, Non-Daycare",Ct0150011,Aquarion Water Co Of Ct-Main System,41.176661,-73.1964878
700004446,2710 North Ave,2710 North Ave,Bridgeport,2710 North Ave Bridgeport Ct,Ct,"Nonresidential, Non-School, Non-Daycare",Ct0150011,Aquarion Water Co Of Ct-Main System,41.1768578,-73.2217034
700004530,226 Mill Hill Ave,226 Mill Hill Ave,Bridgeport,226 Mill Hill Ave Bridgeport Ct,Ct,"Nonresidential, Non-School, Non-Daycare",Ct0150011,Aquarion Water Co Of Ct-Main System,41.1894342,-73.1649291
700004794,62 Coleman St,62 Coleman St,Bridgeport,62 Coleman St Bridgeport Ct,Ct,"Nonresidential, Non-School, Non-Daycare",Ct0150011,Aquarion Water Co Of Ct-Main System,41.1792299,-73.1972497
700018940,198 Willow St,198 Willow St,Bridgeport,198 Willow St Bridgeport Ct,Ct,Multi-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.1892278,-73.1587878
700021562,126-128 North Bishop,126-128 North Bishop,Bridgeport,126-128 North Bishop Bridgeport Ct,Ct,Multi-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.1955261,-73.1567531
700021631,57-61 Kent Ave,57-61 Kent Ave,Bridgeport,57-61 Kent Ave Bridgeport Ct,Ct,Single-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.192675,-73.1566154
700021665,100-04 Kent Ave,100-04 Kent Ave,Bridgeport,100-04 Kent Ave Bridgeport Ct,Ct,Multi-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.192675,-73.1566154
700021674,110 Kent Ave,110 Kent Ave,Bridgeport,110 Kent Ave Bridgeport Ct,Ct,Multi-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.1911732,-73.1562484
700021681,1384 Boston Ave,1384 Boston Ave,Bridgeport,1384 Boston Ave Bridgeport Ct,Ct,Multi-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.1931721,-73.1682923
700021706,167-69 Kent Ave,167-69 Kent Ave,Bridgeport,167-69 Kent Ave Bridgeport Ct,Ct,Single-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.192675,-73.1566154
700021717,285 Kent Ave,285 Kent Ave,Bridgeport,285 Kent Ave Bridgeport Ct,Ct,Multi-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.1936855,-73.1566012
700021758,337 Kent Ave,337 Kent Ave,Bridgeport,337 Kent Ave Bridgeport Ct,Ct,Multi-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.1943697,-73.1564209
700021762,338 Kent Ave,338 Kent Ave,Bridgeport,338 Kent Ave Bridgeport Ct,Ct,Multi-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.1942612,-73.1559386
700021766,347-349 Kent Ave,347-349 Kent Ave,Bridgeport,347-349 Kent Ave Bridgeport Ct,Ct,Multi-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.192675,-73.1566154
700021781,377 Kent Ave,377 Kent Ave,Bridgeport,377 Kent Ave Bridgeport Ct,Ct,Single-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.1948635,-73.1562664
700021802,415 Kent Ave,415 Kent Ave,Bridgeport,415 Kent Ave Bridgeport Ct,Ct,Multi-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.1953808,-73.1561029
700021815,90-92 Weber Ave,90-92 Weber Ave,Bridgeport,90-92 Weber Ave Bridgeport Ct,Ct,Single-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.1951339,-73.1550188
700021826,1844 Boston Ave,1844 Boston Ave,Bridgeport,1844 Boston Ave Bridgeport Ct,Ct,Multi-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.1933111,-73.1600816
700021850,1900-04 Boston Ave,1900-04 Boston Ave,Bridgeport,1900-04 Boston Ave Bridgeport Ct,Ct,"Nonresidential, Non-School, Non-Daycare",Ct0150011,Aquarion Water Co Of Ct-Main System,41.1932806,-73.1707504
700021929,91 Sage Ave,91 Sage Ave,Bridgeport,91 Sage Ave Bridgeport Ct,Ct,Single-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.1912128,-73.1557704
700021933,92 Sage Ave,92 Sage Ave,Bridgeport,92 Sage Ave Bridgeport Ct,Ct,Single-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.1911849,-73.1551574
700021970,2101 Boston Ave,2101 Boston Ave,Bridgeport,2101 Boston Ave Bridgeport Ct,Ct,Single-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.1927728,-73.1553304
700021982,160 Sage Ave,160 Sage Ave,Bridgeport,160 Sage Ave Bridgeport Ct,Ct,Multi-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.192032,-73.1555113
700023091,1928 Seaview Ave,1928 Seaview Ave,Bridgeport,1928 Seaview Ave Bridgeport Ct,Ct,Multi-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.1893119,-73.1699882
700023151,2134 Seaview Ave,2134 Seaview Ave,Bridgeport,2134 Seaview Ave Bridgeport Ct,Ct,Single-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.1921541,-73.1700596
700023180,441 Bishop Ave,441 Bishop Ave,Bridgeport,441 Bishop Ave Bridgeport Ct,Ct,"Nonresidential, Non-School, Non-Daycare",Ct0150011,Aquarion Water Co Of Ct-Main System,41.1886424,-73.1572281
700023199,82 White St,82 White St,Bridgeport,82 White St Bridgeport Ct,Ct,Single-Family Residence,Ct0150011,Aquarion Water Co Of Ct-Main System,41.1879726,-73.1689451
