SITE ID,Lat,Long,STREET ADDRESS,TOWN,STATE,ENTIRE SERVICE LINE MATERIAL CLASSIFICATION,BUILDING TYPE,SOURCE FILE,STREET NUMBER,STREET NAME,extracted_pswid,is_match,PWSID,SYSTEM NAME
113440,41.52868569,-72.78358041,84 Dexter Ave,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113442,41.54866818,-72.79577167,96 Wilcox Ave,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113444,41.53827141,-72.81606451,62 Bradley Ave,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113446,41.54638539,-72.82102614,70 Corrigan Ave,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113448,41.52092511,-72.82961438,42 Meadow St,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113450,41.52066789,-72.82489188,11 Mckenzie Ave,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113452,41.5241945,-72.84413113,209 Dana La,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113454,41.51630225,-72.79089943,14 Sunny La,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113456,41.516417,-72.790537,22 Sunny La,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113458,41.51628531,-72.78892255,557 Swain Ave,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113460,41.510298,-72.775281,124 Sandy La,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113464,41.51989082,-72.75543025,20 Morton Rd,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113468,41.557518,-72.77369,17 Country Club Dr,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113470,41.53566768,-72.7724342,30 Cricket Dr,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113474,41.55431434,-72.80453121,23 Gay St,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113476,41.55816427,-72.78243356,121 Amity St,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113478,41.54315275,-72.80693571,167 Lewis Ave,Meriden,Ct,Lead Status Unknown,Other,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113480,41.54304657,-72.80697471,163 Lewis Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113484,41.54281321,-72.80707304,153 Lewis Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113486,41.54269496,-72.80714126,151 Lewis Ave,Meriden,Ct,Lead Status Unknown,Other,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113490,41.54233565,-72.80676268,81 Springdale Ave,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113494,41.54239986,-72.80662183,73 Springdale Ave,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113496,41.54221884,-72.80650876,69 Springdale Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113498,41.54229933,-72.80622402,65 Springdale Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113500,41.54231995,-72.80628054,65 Springdale Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113502,41.54231144,-72.80612739,59 Springdale Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113504,41.54206536,-72.80604723,53 Springdale Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113506,41.54200212,-72.8058682,49 Springdale Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113508,41.54197135,-72.80570848,45 Springdale Ave,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113510,41.54188988,-72.8055151,39 Springdale Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113516,41.5417406,-72.8049497,19 Springdale Ave,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113518,41.54167795,-72.80476353,13 Springdale Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113520,41.54160629,-72.80451957,9 Springdale Ave,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113522,41.541664,-72.804228,5 Springdale Ave,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113524,41.541562,-72.80425,186 Grove St,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
