SITE ID,LOCATION IDENTIFIER,STREET ADDRESS,TOWN,merged address,STATE,ENTIRE SERVICE LINE MATERIAL CLASSIFICATION,BUILDING TYPE,SOURCE FILE,STREET NUMBER,STREET NAME,extracted_pswid,is_match,PWSID,SYSTEM NAME,lat,long
00000007R,"353 MAIN STREET, MIDDLETOWN, CT",353 MAIN STREET,MIDDLETOWN,353 MAIN STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5609821,-72.6507105
00000032C,"291 MAIN STREET, MIDDLETOWN, CT",291 MAIN STREET,MIDDLETOWN,291 MAIN STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5601645,-72.6501033
00000042R,"241 COURT STREET, MIDDLETOWN, CT",241 COURT STREET,MIDDLETOWN,241 COURT STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5591299,-72.6528365
00000050R,"346 MAIN STREET, MIDDLETOWN, CT",346 MAIN STREET,MIDDLETOWN,346 MAIN STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5611499,-72.6498409
00000071R,"318 MAIN STREET, MIDDLETOWN, CT",318 MAIN STREET,MIDDLETOWN,318 MAIN STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5608328,-72.6495801
00000093R,"15 PORTLAND STREET, MIDDLETOWN, CT",15 PORTLAND STREET,MIDDLETOWN,15 PORTLAND STREET MIDDLETOWN CT,CT,Lead,O,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5676486,-72.6514001
00000095R,"13 LIBERTY STREET, MIDDLETOWN, CT",13 LIBERTY STREET,MIDDLETOWN,13 LIBERTY STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5638121,-72.6526912
00000102R,"111 RESERVOIR ROAD, MIDDLETOWN, CT",111 RESERVOIR ROAD,MIDDLETOWN,111 RESERVOIR ROAD MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5391976,-72.6157316
00000156R,"430 BOSTON ROAD, MIDDLETOWN, CT",430 BOSTON ROAD,MIDDLETOWN,430 BOSTON ROAD MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5460951,-72.6868305
00000165R,"186 COLLEGE STREET, MIDDLETOWN, CT",186 COLLEGE STREET,MIDDLETOWN,186 COLLEGE STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5579822,-72.6528215
00000169R,"33 MILLBROOK ROAD, MIDDLETOWN, CT",33 MILLBROOK ROAD,MIDDLETOWN,33 MILLBROOK ROAD MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5379385,-72.6348365
00000175R,"21 MILLBROOK ROAD, MIDDLETOWN, CT",21 MILLBROOK ROAD,MIDDLETOWN,21 MILLBROOK ROAD MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5382692,-72.634884
00000200R,"319 MAIN STREET, MIDDLETOWN, CT",319 MAIN STREET,MIDDLETOWN,319 MAIN STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5586549,-72.6486655
00000220R,"21 HUBBARD STREET, MIDDLETOWN, CT",21 HUBBARD STREET,MIDDLETOWN,21 HUBBARD STREET MIDDLETOWN CT,CT,Lead,O,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.553373,-72.650636
00000247R,"45 HUBBARD STREET, MIDDLETOWN, CT",45 HUBBARD STREET,MIDDLETOWN,45 HUBBARD STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5542074,-72.6509367
00000252R,"23 ROME AVENUE, MIDDLETOWN, CT",23 ROME AVENUE,MIDDLETOWN,23 ROME AVENUE MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5671148,-72.6552384
00000272R,"41 HOTCHKISS STREET, MIDDLETOWN, CT",41 HOTCHKISS STREET,MIDDLETOWN,41 HOTCHKISS STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5544369,-72.6521415
00000291R,"332 MAIN STREET, MIDDLETOWN, CT",332 MAIN STREET,MIDDLETOWN,332 MAIN STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5610141,-72.6497062
00000303I,"109 BRIDGE STREET, MIDDLETOWN, CT",109 BRIDGE STREET,MIDDLETOWN,109 BRIDGE STREET MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5690477,-72.6518749
00000306C,"515 MAIN STREET, MIDDLETOWN, CT",515 MAIN STREET,MIDDLETOWN,515 MAIN STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5630345,-72.6519151
00000307R,"43 HUBBARD STREET, MIDDLETOWN, CT",43 HUBBARD STREET,MIDDLETOWN,43 HUBBARD STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5540807,-72.6509102
00000332R,"101 SOUTH MAIN STREET, MIDDLETOWN, CT",101 SOUTH MAIN STREET,MIDDLETOWN,101 SOUTH MAIN STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5534787,-72.6495895
00000351R,"17 WARWICK STREET, MIDDLETOWN, CT",17 WARWICK STREET,MIDDLETOWN,17 WARWICK STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5496126,-72.6507057
00000420R,"51 WARWICK STREET, MIDDLETOWN, CT",51 WARWICK STREET,MIDDLETOWN,51 WARWICK STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5489166,-72.6518979
00000429R,"265 PEARL STREET, MIDDLETOWN, CT",265 PEARL STREET,MIDDLETOWN,265 PEARL STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5660643,-72.6568018
00000449R,"51 HAMLIN STREET, MIDDLETOWN, CT",51 HAMLIN STREET,MIDDLETOWN,51 HAMLIN STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.556995,-72.6526731
00000513R,"178 PROSPECT STREET, MIDDLETOWN, CT",178 PROSPECT STREET,MIDDLETOWN,178 PROSPECT STREET MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5651257,-72.6600283
