SITE ID,LOCATION IDENTIFIER,STREET ADDRESS,TOWN,merged address,STATE,ENTIRE SERVICE LINE MATERIAL CLASSIFICATION,BUILDING TYPE,SOURCE FILE,STREET NUMBER,STREET NAME,extracted_pswid,is_match,PWSID,SYSTEM NAME,lat,long
6 - 40620,D12-178-19,1 COLVER ST,New London,1 COLVER ST New London CT,CT,Lead,Residential (SF),CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3545856,-72.1117925
63 - 38321,F19-66-13,10 Lyman Ct,New London,10 Lyman Ct New London CT,CT,Lead,Residential (SF),CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.5272693,-72.1089593
75 - 38501,F08-299-10,10 ROSEMARY ST,New London,10 ROSEMARY ST New London CT,CT,Lead,Commercial,CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3658923,-72.101046
94 - 38859,E19-65-2,100 SCHOOL ST,New London,100 SCHOOL ST New London CT,CT,Lead,Unknown,CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3339811,-72.1037737
99 - 40630,G26-18-100,1000 OCEAN AVE,New London,1000 OCEAN AVE New London CT,CT,Lead,Unknown,CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3158677,-72.0973164
100 - 41156,F26-10-34.01,1001 OCEAN AVE,New London,1001 OCEAN AVE New London CT,CT,Lead,Residential (SF),CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3156913,-72.0986549
106 - 40981,G27-9-13,1007 PEQUOT AVE,New London,1007 PEQUOT AVE New London CT,CT,Lead,Unknown,CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.31181,-72.0951098
112 - 38326,D13-126-49,101 COLMAN ST,New London,101 COLMAN ST New London CT,CT,Lead,Residential (SF),CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3506487,-72.11141
118 - 40632,F13-152-33,101 TRUMAN ST,New London,101 TRUMAN ST New London CT,CT,Lead,Residential (SF),CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.352061,-72.1019936
120 - 40801,D16-118-159,1011 BANK ST,New London,1011 BANK ST New London CT,CT,Lead,Unknown,CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3443164,-72.1135274
127 - 38861,G28-9-16,1019 PEQUOT AVE,New London,1019 PEQUOT AVE New London CT,CT,Lead,Residential (SF),CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.311406,-72.09505
141 - 38336,F11-212-9,103 BROAD ST,New London,103 BROAD ST New London CT,CT,Lead,Commercial,CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3580543,-72.1027072
172 - 38867,F13-152-20,105 BLINMAN ST,New London,105 BLINMAN ST New London CT,CT,Lead,Unknown,CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3511503,-72.1021313
173 - 40808,F11-212-10,105 BROAD ST,New London,105 BROAD ST New London CT,CT,Lead,Unknown,CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3581217,-72.1028621
176 - 40990,G23-44-57,105 GARDNER AVE,New London,105 GARDNER AVE New London CT,CT,Lead,Unknown,CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3248352,-72.0967834
187 - 38870,F27-7-1,105 STUART AVE,New London,105 STUART AVE New London CT,CT,Lead,Residential (SF),CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3122307,-72.0989067
190 - 40991,E09-253-6,105 VAUXHALL ST,New London,105 VAUXHALL ST New London CT,CT,Lead,Residential (SF),CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3621717,-72.1075957
212 - 38873,D11-186-16,107 LINCOLN AVE,New London,107 LINCOLN AVE New London CT,CT,Lead,Residential (SF),CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.356441,-72.1107271
223 - 40648,F13-136-3,108 BLINMAN ST,New London,108 BLINMAN ST New London CT,CT,Lead,Unknown,CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3509311,-72.102424
226 - 40999,D13-157-11,108 JEFFERSON AVE,New London,108 JEFFERSON AVE New London CT,CT,Lead,Residential (SF),CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.352135,-72.1093139
236 - 41003,F13-152-21,109 BLINMAN ST,New London,109 BLINMAN ST New London CT,CT,Lead,Commercial,CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3513047,-72.1021846
243 - 41004,F18-69-15,109 PEQUOT AVE,New London,109 PEQUOT AVE New London CT,CT,Lead,Unknown,CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3386798,-72.1004511
260 - 38520,G28-5-9,11 BENTLEY AVE,New London,11 BENTLEY AVE New London CT,CT,Lead,Commercial,CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3102302,-72.097236
262 - 41006,F13-149-12,11 Blinman St,New London,11 Blinman St New London CT,CT,Lead,Commercial,CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3513858,-72.0982395
278 - 38351,D12-181-5,11 COLVER ST,New London,11 COLVER ST New London CT,CT,Lead,Residential (SF),CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3548596,-72.1120726
296 - 38526,F12-169-23,11 Hempstead St,New London,11 Hempstead St New London CT,CT,Lead,Commercial,CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3526612,-72.1017576
298 - 40660,F12-168-8,11 HOME ST,New London,11 HOME ST New London CT,CT,Lead,Residential (SF),CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3542205,-72.1020153
300 - 38705,F12-172-15,11 JAY ST,New London,11 JAY ST New London CT,CT,Lead,Unknown,CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3543047,-72.1000993
327 - 38889,D12-178-27,11 WALDEN AVE,New London,11 WALDEN AVE New London CT,CT,Lead,Residential (SF),CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.354245,-72.1112525
334 - 38531,D08-280-1,11 WHITTLESEY ST,New London,11 WHITTLESEY ST New London CT,CT,Lead,Unknown,CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3650235,-72.1111107
339 - 38890,G26-18-79,11 WORTHINGTON RD,New London,11 WORTHINGTON RD New London CT,CT,Lead,Residential (SF),CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3168536,-72.0953047
370 - 38714,G27-8-6,1111 OCEAN AVE,New London,1111 OCEAN AVE New London CT,CT,Lead,Residential (SF),CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3122026,-72.097226
373 - 38364,G13-140-12,112 Bank St,New London,112 Bank St New London CT,CT,Lead,Commercial,CT0950011_LCRR_Inventory_Initial_10.15.24.xlsx,NA,NA,CT0950011,TRUE,CT0950011,New London Dept. of Public Utilities,41.3527691,-72.0948298
