SITE ID,LOCATION IDENTIFIER,STREET ADDRESS,TOWN,merged address,STATE,ENTIRE SERVICE LINE MATERIAL CLASSIFICATION,BUILDING TYPE,PWSID,SYSTEM NAME
102148,020001860079,120 EASTON AVE,Waterbury,120 EASTON AVE Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
102618,020002060033,107 PLATT ST,Waterbury,107 PLATT ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
103178,020002110064,1089 NORTH MAIN ST,Waterbury,1089 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
103188,020002110066,1063 NORTH MAIN ST,Waterbury,1063 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,O,CT1510011,Waterbury Water Department
103208,020002110068,1043 NORTH MAIN ST,Waterbury,1043 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
103218,020002110069,1027 NORTH MAIN ST,Waterbury,1027 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
103368,020002120057,212 EASTON AVE,Waterbury,212 EASTON AVE Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
103428,020002130056,213 EASTON AVE,Waterbury,213 EASTON AVE Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
103478,020101990031,1208 NORTH MAIN ST,Waterbury,1208 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,O,CT1510011,Waterbury Water Department
103488,020101990032,1214 NORTH MAIN ST,Waterbury,1214 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
103518,020101990035,1248 NORTH MAIN ST,Waterbury,1248 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
103528,020101990036,1254 NORTH MAIN ST,Waterbury,1254 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
103548,020101990038,1298 NORTH MAIN ST,Waterbury,1298 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
103558,020101990039,1306 NORTH MAIN ST,Waterbury,1306 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
103588,020101990300,1184 NORTH MAIN ST,Waterbury,1184 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
103608,020101990361,1268 NORTH MAIN ST,Waterbury,1268 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
103818,020102120021,1181 NORTH MAIN ST,Waterbury,1181 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
103958,020102130013,1239 NORTH MAIN ST,Waterbury,1239 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
109878,021205240020,148 REVERE ST EXT,Waterbury,148 REVERE ST EXT Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
109898,021205240022,112 REVERE ST EXT,Waterbury,112 REVERE ST EXT Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
109998,021205250018,147 REVERE ST EXT,Waterbury,147 REVERE ST EXT Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
116578,021801660158,810 NORTH MAIN ST,Waterbury,810 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
116588,021801660159,790 NORTH MAIN ST,Waterbury,790 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
116598,021801660160,782 NORTH MAIN ST,Waterbury,782 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
116738,021801790045,739 NORTH MAIN ST,Waterbury,739 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
11678,006002390015,2846 NORTH MAIN ST,Waterbury,2846 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
11688,006002390016,2852 NORTH MAIN ST,Waterbury,2852 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
116908,021801800151,858 NORTH MAIN ST,Waterbury,858 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
117028,021801840060,767 NORTH MAIN ST,Waterbury,767 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
117048,021801840062,799 NORTH MAIN ST,Waterbury,799 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
117068,021801840064,817 NORTH MAIN ST,Waterbury,817 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
117248,021801850082,839 NORTH MAIN ST,Waterbury,839 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
117278,021801850085,875 NORTH MAIN ST,Waterbury,875 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
117288,021801850086,885 NORTH MAIN ST,Waterbury,885 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,O,CT1510011,Waterbury Water Department
117308,021801850088,907 NORTH MAIN ST,Waterbury,907 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
