SITE ID,LOCATION IDENTIFIER,STREET ADDRESS,TOWN,merged address,STATE,ENTIRE SERVICE LINE MATERIAL CLASSIFICATION,BUILDING TYPE,PWSID,SYSTEM NAME,lat,long
102148,020001860079,120 EASTON AVE,Waterbury,120 EASTON AVE Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department,41.5661875,-73.0303237
102618,020002060033,107 PLATT ST,Waterbury,107 PLATT ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department,41.5676527,-73.0308175
103178,020002110064,1089 NORTH MAIN ST,Waterbury,1089 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department,41.56661,-73.0278976
103188,020002110066,1063 NORTH MAIN ST,Waterbury,1063 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,O,CT1510011,Waterbury Water Department,41.5663945,-73.0282366
103208,020002110068,1043 NORTH MAIN ST,Waterbury,1043 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department,41.5663946,-73.0287598
103218,020002110069,1027 NORTH MAIN ST,Waterbury,1027 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department,41.5663131,-73.0289685
103368,020002120057,212 EASTON AVE,Waterbury,212 EASTON AVE Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department,41.5677204,-73.0279703
103428,020002130056,213 EASTON AVE,Waterbury,213 EASTON AVE Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department,41.5680283,-73.0281098
103478,020101990031,1208 NORTH MAIN ST,Waterbury,1208 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,O,CT1510011,Waterbury Water Department,41.5677277,-73.0262747
103488,020101990032,1214 NORTH MAIN ST,Waterbury,1214 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department,41.5675822,-73.0261935
103518,020101990035,1248 NORTH MAIN ST,Waterbury,1248 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department,41.5680113,-73.0260332
103528,020101990036,1254 NORTH MAIN ST,Waterbury,1254 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department,41.5681426,-73.0259676
103548,020101990038,1298 NORTH MAIN ST,Waterbury,1298 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department,41.5687033,-73.0257137
103558,020101990039,1306 NORTH MAIN ST,Waterbury,1306 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department,41.5688313,-73.0257001
103588,020101990300,1184 NORTH MAIN ST,Waterbury,1184 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department,41.5671821,-73.0262846
103608,020101990361,1268 NORTH MAIN ST,Waterbury,1268 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department,41.5682879,-73.0259085
103818,020102120021,1181 NORTH MAIN ST,Waterbury,1181 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department,41.567304,-73.026987
103958,020102130013,1239 NORTH MAIN ST,Waterbury,1239 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department,41.5681637,-73.0264308
109878,021205240020,148 REVERE ST EXT,Waterbury,148 REVERE ST EXT Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department,NA,NA
109898,021205240022,112 REVERE ST EXT,Waterbury,112 REVERE ST EXT Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department,NA,NA
109998,021205250018,147 REVERE ST EXT,Waterbury,147 REVERE ST EXT Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department,NA,NA
116578,021801660158,810 NORTH MAIN ST,Waterbury,810 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department,41.5638124,-73.0312439
116588,021801660159,790 NORTH MAIN ST,Waterbury,790 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department,41.5636086,-73.0313504
116598,021801660160,782 NORTH MAIN ST,Waterbury,782 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department,41.5636457,-73.0316053
116738,021801790045,739 NORTH MAIN ST,Waterbury,739 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department,41.5635188,-73.0325454
11678,006002390015,2846 NORTH MAIN ST,Waterbury,2846 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department,41.5937308,-73.0262739
11688,006002390016,2852 NORTH MAIN ST,Waterbury,2852 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department,41.5939281,-73.0263487
116908,021801800151,858 NORTH MAIN ST,Waterbury,858 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department,41.5642064,-73.0304958
117028,021801840060,767 NORTH MAIN ST,Waterbury,767 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department,41.5638678,-73.0319883
