SITE ID,LOCATION IDENTIFIER,STREET ADDRESS,TOWN,merged address,STATE,ENTIRE SERVICE LINE MATERIAL CLASSIFICATION,BUILDING TYPE,PWSID,SYSTEM NAME,lat,long
102148,020001860079,120 Easton Ave,Waterbury,120 Easton Ave Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5661875,-73.0303237
102618,020002060033,107 Platt St,Waterbury,107 Platt St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5676527,-73.0308175
103178,020002110064,1089 North Main St,Waterbury,1089 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.56661,-73.0278976
103188,020002110066,1063 North Main St,Waterbury,1063 North Main St Waterbury Connecticut,Connecticut,Lead,Other,Ct1510011,Waterbury Water Department,41.5663945,-73.0282366
103208,020002110068,1043 North Main St,Waterbury,1043 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5663946,-73.0287598
103218,020002110069,1027 North Main St,Waterbury,1027 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5663131,-73.0289685
103368,020002120057,212 Easton Ave,Waterbury,212 Easton Ave Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5677204,-73.0279703
103428,020002130056,213 Easton Ave,Waterbury,213 Easton Ave Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5680283,-73.0281098
103478,020101990031,1208 North Main St,Waterbury,1208 North Main St Waterbury Connecticut,Connecticut,Lead,Other,Ct1510011,Waterbury Water Department,41.5677277,-73.0262747
103488,020101990032,1214 North Main St,Waterbury,1214 North Main St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5675822,-73.0261935
103518,020101990035,1248 North Main St,Waterbury,1248 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5680113,-73.0260332
103528,020101990036,1254 North Main St,Waterbury,1254 North Main St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5681426,-73.0259676
103548,020101990038,1298 North Main St,Waterbury,1298 North Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5687033,-73.0257137
103558,020101990039,1306 North Main St,Waterbury,1306 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5688313,-73.0257001
103588,020101990300,1184 North Main St,Waterbury,1184 North Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5671821,-73.0262846
103608,020101990361,1268 North Main St,Waterbury,1268 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5682879,-73.0259085
103818,020102120021,1181 North Main St,Waterbury,1181 North Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.567304,-73.026987
103958,020102130013,1239 North Main St,Waterbury,1239 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5681637,-73.0264308
109878,021205240020,148 Revere St Ext,Waterbury,148 Revere St Ext Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,,
109898,021205240022,112 Revere St Ext,Waterbury,112 Revere St Ext Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,,
109998,021205250018,147 Revere St Ext,Waterbury,147 Revere St Ext Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,,
116578,021801660158,810 North Main St,Waterbury,810 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5638124,-73.0312439
116588,021801660159,790 North Main St,Waterbury,790 North Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5636086,-73.0313504
116598,021801660160,782 North Main St,Waterbury,782 North Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5636457,-73.0316053
116738,021801790045,739 North Main St,Waterbury,739 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5635188,-73.0325454
11678,006002390015,2846 North Main St,Waterbury,2846 North Main St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5937308,-73.0262739
11688,006002390016,2852 North Main St,Waterbury,2852 North Main St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5939281,-73.0263487
116908,021801800151,858 North Main St,Waterbury,858 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5642064,-73.0304958
117028,021801840060,767 North Main St,Waterbury,767 North Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5638678,-73.0319883
117048,021801840062,799 North Main St,Waterbury,799 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5640345,-73.0315631
117068,021801840064,817 North Main St,Waterbury,817 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5641488,-73.0312554
117248,021801850082,839 North Main St,Waterbury,839 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5643258,-73.0310023
