SITE ID,LOCATION IDENTIFIER,STREET ADDRESS,TOWN,STATE,ENTIRE SERVICE LINE MATERIAL CLASSIFICATION,BUILDING TYPE,SOURCE FILE,STREET NUMBER,STREET NAME,extracted_pswid,is_match,PWSID,SYSTEM NAME
48817,"53 Circle Dr, Windsor Locks",53 Circle Dr,Windsor Locks,CT,Lead,SF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
49498,"421 Denslow St, Windsor Locks",421 Denslow St,Windsor Locks,CT,Lead,SF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
49732,"46 Center St, Windsor Locks",46 Center St,Windsor Locks,CT,Lead,SF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
51893,"154 Sunset St, Windsor Locks",154 Sunset St,Windsor Locks,CT,Lead,SF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
59967,"754 Avery St, South Windsor",754 Avery St,South Windsor,CT,Lead,SF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
72368,"17 Howard Dr, Vernon",17 Howard Dr,Vernon,CT,Lead,SF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
76858,"69 Mountain St, Ellington",69 Mountain St,Ellington,CT,Lead,SF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
76861,"71-73 Mountain St, Ellington",71-73 Mountain St,Ellington,CT,Lead,MF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
76964,"46 Ellington Ave, Ellington",46 Ellington Ave,Ellington,CT,Lead,SF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
77137,"13 Talcott Ave, Vernon",13 Talcott Ave,Vernon,CT,Lead,SF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
77206,"60 Prospect St Front, Vernon",60 Prospect St Front,Vernon,CT,Lead,NONRES,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
77278,"14 Park Pl, Vernon",14 Park Pl,Vernon,CT,Lead,SF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
77324,"15 Webster St, Vernon",15 Webster St,Vernon,CT,Lead,MF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
77384,"28 Pleasant St, Vernon",28 Pleasant St,Vernon,CT,Lead,SF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
77424,"2 Minterburn Ct, Vernon",2 Minterburn Ct,Vernon,CT,Lead,MF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
77784,"109 Grove St, Vernon",109 Grove St,Vernon,CT,Lead,SF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
77787,"103 Grove St, Vernon",103 Grove St,Vernon,CT,Lead,SF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
78076,"7 Hale St Ext, Vernon",7 Hale St Ext,Vernon,CT,Lead,SF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
78540,"41 High St, Vernon",41 High St,Vernon,CT,Lead,MF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
79889,"82 West St, Vernon",82 West St,Vernon,CT,Lead,SF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
80533,"41 Spring St, Vernon",41 Spring St,Vernon,CT,Lead,SF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
80587," Maple St School, Vernon", Maple St School,Vernon,CT,Lead,SCH_CC,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
80620,"127 Union St, Vernon",127 Union St,Vernon,CT,Lead,MF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
80794,"90-92 Village St, Vernon",90-92 Village St,Vernon,CT,Lead,MF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
80987,"6 Oak St, Vernon",6 Oak St,Vernon,CT,Lead,MF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
80998,"39 Ward St, Vernon",39 Ward St,Vernon,CT,Lead,SF,CT0473011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0473011,TRUE,CT0473011,CTWC - Northern Reg-Western System
40418,"41.708, -72.206",27 Park St,Windham,CT,Lead,MF,CT1630011_LCRR_Inventory_Initial_10-11-24.xlsx,,,CT1630011,TRUE,CT1630011,Windham Water Works
