SITE ID,LOCATION IDENTIFIER,STREET ADDRESS,TOWN,STATE,ENTIRE SERVICE LINE MATERIAL CLASSIFICATION,BUILDING TYPE,SOURCE FILE,STREET NUMBER,STREET NAME,extracted_pswid,is_match,PWSID,SYSTEM NAME
48817,"53 Circle Dr, Windsor Locks",53 Circle Dr,Windsor Locks,Ct,Lead,Single-Family Residence,Ct0473011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0473011,True,Ct0473011,Ctwc - Northern Reg-Western System
49498,"421 Denslow St, Windsor Locks",421 Denslow St,Windsor Locks,Ct,Lead,Single-Family Residence,Ct0473011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0473011,True,Ct0473011,Ctwc - Northern Reg-Western System
49732,"46 Center St, Windsor Locks",46 Center St,Windsor Locks,Ct,Lead,Single-Family Residence,Ct0473011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0473011,True,Ct0473011,Ctwc - Northern Reg-Western System
51893,"154 Sunset St, Windsor Locks",154 Sunset St,Windsor Locks,Ct,Lead,Single-Family Residence,Ct0473011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0473011,True,Ct0473011,Ctwc - Northern Reg-Western System
59967,"754 Avery St, South Windsor",754 Avery St,South Windsor,Ct,Lead,Single-Family Residence,Ct0473011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0473011,True,Ct0473011,Ctwc - Northern Reg-Western System
72368,"17 Howard Dr, Vernon",17 Howard Dr,Vernon,Ct,Lead,Single-Family Residence,Ct0473011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0473011,True,Ct0473011,Ctwc - Northern Reg-Western System
76858,"69 Mountain St, Ellington",69 Mountain St,Ellington,Ct,Lead,Single-Family Residence,Ct0473011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0473011,True,Ct0473011,Ctwc - Northern Reg-Western System
76861,"71-73 Mountain St, Ellington",71-73 Mountain St,Ellington,Ct,Lead,Multi-Family Residence,Ct0473011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0473011,True,Ct0473011,Ctwc - Northern Reg-Western System
76964,"46 Ellington Ave, Ellington",46 Ellington Ave,Ellington,Ct,Lead,Single-Family Residence,Ct0473011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0473011,True,Ct0473011,Ctwc - Northern Reg-Western System
77137,"13 Talcott Ave, Vernon",13 Talcott Ave,Vernon,Ct,Lead,Single-Family Residence,Ct0473011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0473011,True,Ct0473011,Ctwc - Northern Reg-Western System
77206,"60 Prospect St Front, Vernon",60 Prospect St Front,Vernon,Ct,Lead,"Nonresidential, Non-School, Non-Daycare",Ct0473011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0473011,True,Ct0473011,Ctwc - Northern Reg-Western System
77278,"14 Park Pl, Vernon",14 Park Pl,Vernon,Ct,Lead,Single-Family Residence,Ct0473011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0473011,True,Ct0473011,Ctwc - Northern Reg-Western System
77324,"15 Webster St, Vernon",15 Webster St,Vernon,Ct,Lead,Multi-Family Residence,Ct0473011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0473011,True,Ct0473011,Ctwc - Northern Reg-Western System
77384,"28 Pleasant St, Vernon",28 Pleasant St,Vernon,Ct,Lead,Single-Family Residence,Ct0473011_Lcrr_Inventory_Initial_10.16.24.Xlsx,,,Ct0473011,True,Ct0473011,Ctwc - Northern Reg-Western System
